name	age	pop
Kostenki14	37470	EMH
GoyetQ116-1	34795	EMH
KremsWA3	30970	EMH
Vestonice16	30010	EMH
Ostuni1	27620	EMH
Malta1	24305	EMH
ElMiron	18720	EMH
AfontovaGora3	16710	EMH
Villabruna	13980	EMH
Bichon	13665	EMH
Satsurblia	13255	EMH
Rochedane	12960	EMH
Ranchot88	10085	EMH
Kotias	9720	EMH
Karelia	8375	EMH
LaBrana1	7815	EMH
Hungarian.KO1	7660	EMH
Motala12	7625	EMH
Stuttgart	7140	EMH
Dinka	0	Africa
Mbuti	0	Africa
Yoruba	0	Africa
Burmese	0	EastAsia
Dai	0	EastAsia
Han	0	EastAsia
Hezhen	0	EastAsia
Japanese	0	EastAsia
Korean	0	EastAsia
Tujia	0	EastAsia
Uygur	0	EastAsia
Papuan	0	Oceania
Adygei	0	WestEurasia
Czech	0	WestEurasia
Estonian	0	WestEurasia
French	0	WestEurasia
Greek	0	WestEurasia
Icelandic	0	WestEurasia
Orcadian	0	WestEurasia
Russian	0	WestEurasia
Spanish	0	WestEurasia
Tuscan	0	WestEurasia
